product_id,name,price,categories,brand
ALP57660_CM,12 x 16 ristras Pack Alpha Spirit De Sticks De Pescado Para Perros 12 X 16 Ristras,25.95,"Perro, C, Snack Premio, C - digital",Alpha Spirit
ALP57660_UD,12 x 16 ristras Pack Alpha Spirit De Sticks De Pescado Para Perros 12 X 16 Ristras,25.95,"Perro, C, Snack Premio, C - digital",Alpha Spirit
ALP57662_CM,12 x 16 ristras Pack Alpha Spirit De Sticks De Pollo Para Perros 12 X 16 Ristras,25.95,"Perro, C, Snack Premio, C - digital",Alpha Spirit
ALP57662_UD,12 x 16 ristras Pack Alpha Spirit De Sticks De Pollo Para Perros 12 X 16 Ristras,25.95,"Perro, C, Snack Premio, C - digital",Alpha Spirit
ALP57679_CM,Alpha Spirit Albóndigas De Venado Y Romero Para Perro 12 Unidades De 400gr,29.95,"Perro, C - digital, D, Alimento Humedo",Alpha Spirit
ALP57679_UD,Alpha Spirit Albóndigas De Venado Y Romero Para Perro 12 Unidades De 400gr,29.95,"Perro, C - digital, D, Alimento Humedo",Alpha Spirit
ALP57683_CM,Alpha Spirit Albóndigas De Cerdo Y Alcaravea Para Perro 12 Unidades De 400gr,29.95,"Perro, C, C - digital, Alimento Humedo",Alpha Spirit
ALP57683_UD,Alpha Spirit Albóndigas De Cerdo Y Alcaravea Para Perro 12 Unidades De 400gr,29.95,"Perro, C, C - digital, Alimento Humedo",Alpha Spirit
ALP57698_CM,12 x 16 ristras Pack Alpha Spirit De Sticks De Pato Para Perros 12 X 16 Ristras,25.95,"Perro, C, Snack Premio, C - digital",Alpha Spirit
ALP57698_UD,12 x 16 ristras Pack Alpha Spirit De Sticks De Pato Para Perros 12 X 16 Ristras,25.95,"Perro, C, Snack Premio, C - digital",Alpha Spirit
APL43564_UD,Applaws Cat  Adulto Pollo y Pato 2 Kg,19.95,"C, Gato, Alimento Seco",Applaws
APL43946_UD,Applaws Cat  Pollo y Cordero 2 Kg,19.95,"Gato, Alimento Seco, D",Applaws
APL49137_UD,Applaws Cat  Adulto Pollo 7.5 Kg,45.95,"C, Gato, Alimento Seco",Applaws
APL49139_UD,"Applaws Cat Kitten Pollo 7,5 Kg",45.95,"C, Gato, Alimento Seco",Applaws
APL49141_UD,Applaws Cat Kitten Pollo 2 Kg,19.95,"C, Gato, Alimento Seco",Applaws
APL49142_UD,Applaws Cat  Adulto Pollo 2 Kg,19.95,"C, Gato, Alimento Seco",Applaws
APL49143_UD,Applaws Cat  Adulto Pollo y Salmón 2 Kg,19.95,"C, Gato, Alimento Seco",Applaws
APL49164_UD,"Applaws Cat  Adulto Pollo y Salmón 7,5 Kg",45.95,"C, Gato, Alimento Seco",Applaws
APL49729_UD,Applaws Cat  Adulto Pescado y Salmón 1.8 Kg,19.95,"C, Gato, Alimento Seco",Applaws
ARQ82600_UD,"Hueso prensado piel (bolsa de 50 unidades) para perros, Tamaño 8 cms",29.95,"Perro, Snack Entretenimiento, 1.PER",Arquivet
ARQ82602_UD,"Hueso prensado piel (bolsa de 25 unidades) para perros, Tamaño 13 cms",27.95,"Perro, Snack Entretenimiento, GEN",Arquivet
ARQ84004_UD,"Arena para gatos SilicaCrystal, Capacidad 17,8 L",49.99,"Gato, Higiene Lechos, GEN",Arquivet
ARQ84023_UD,Arquivet Pet Litter Paper 30 L,23.97,"PMamifero, Z, Litter",Arquivet
